OFFENSE,SHIFT,VOTING_PRECINCT,WARD,BLOCK,LATITUDE,LONGITUDE
HOMICIDE,MIDNIGHT,Precinct 126,8,130 - 199 BLOCK OF IRVINGTON STREET SW,38.8204614850786,-77.0103753332952
THEFT F/AUTO,EVENING,Precinct 129,2,900 - 999 BLOCK OF G STREET NW,38.8983100548369,-77.0249579465415
THEFT F/AUTO,DAY,Precinct 79,5,1800 - 1899 BLOCK OF H STREET NE,38.9001931768789,-76.9768628540706
THEFT F/AUTO,EVENING,Precinct 5,2,1227 - 1299 BLOCK OF 30TH STREET NW,38.906450293835604,-77.05917956917929
THEFT/OTHER,EVENING,Precinct 32,3,4500 - 4599 BLOCK OF 40TH STREET NW,38.948786830819294,-77.078756845493
THEFT F/AUTO,EVENING,Precinct 141,2,1600 - 1699 BLOCK OF SWANN STREET NW,38.914828002976996,-77.03753207037259
THEFT F/AUTO,EVENING,Precinct 1,6,1 - 49 BLOCK OF MASSACHUSETTS AVENUE NW,38.8978978967794,-77.01013298292459
THEFT F/AUTO,EVENING,Precinct 5,2,3100 - 3199 BLOCK OF SOUTH STREET NW,38.9034220422212,-77.0619670139239
THEFT F/AUTO,EVENING,Precinct 63,4,6900  - 6999 BLOCK OF WILLOW STREET NW,38.973540106997106,-77.0145982136536
THEFT/OTHER,MIDNIGHT,Precinct 67,5,1922 - 1949 BLOCK OF MICHIGAN AVENUE NE,38.9458386327476,-76.9784053463293
THEFT F/AUTO,EVENING,Precinct 115,8,2300 - 2499 BLOCK OF HARTFORD STREET SE,38.854078192877395,-76.9722234077992
THEFT F/AUTO,EVENING,Precinct 5,2,1227 - 1299 BLOCK OF 30TH STREET NW,38.906450293835604,-77.05917956917929
THEFT F/AUTO,EVENING,Precinct 129,2,800 - 899 BLOCK OF F STREET NW,38.8972023322644,-77.0234820081308
THEFT/OTHER,EVENING,Precinct 95,7,934 - 1099 BLOCK OF EASTERN AVENUE NE,38.903476129183,-76.9229533236416
ASSAULT W/DANGEROUS WEAPON,EVENING,Precinct 110,7,2000 - 2065 BLOCK OF 37TH STREET SE,38.8640355880371,-76.9535878365508
THEFT F/AUTO,EVENING,Precinct 5,2,3100 - 3199 BLOCK OF SOUTH STREET NW,38.9034220422212,-77.0619670139239
THEFT F/AUTO,EVENING,Precinct 62,4,1400  - 1499 BLOCK OF GERANIUM STREET NW,38.9793911619974,-77.03488855694721
MOTOR VEHICLE THEFT,EVENING,Precinct 73,5,1300 - 1399 BLOCK OF GIRARD STREET NE,38.9267062845692,-76.98704899078551
MOTOR VEHICLE THEFT,EVENING,Precinct 103,7,4700 - 4809 BLOCK OF BENNING ROAD SE,38.882682551476705,-76.9339825322767
THEFT/OTHER,MIDNIGHT,Precinct 104,7,5000 - 5099 BLOCK OF KIMI GRAY COURT SE,38.8822576696285,-76.931401251604
ASSAULT W/DANGEROUS WEAPON,EVENING,Precinct 100,7,3601 3764  BLOCK OF HAYES STREET NE,38.902467260731,-76.9494762906844
MOTOR VEHICLE THEFT,MIDNIGHT,Precinct 7,3,4409 - 4450 BLOCK OF MACARTHUR BOULEVARD NW,38.907300920212705,-77.0825503207897
THEFT/OTHER,MIDNIGHT,Precinct 16,2,1600 - 1617 BLOCK OF 14TH STREET NW,38.9114965746407,-77.03196130221491
