VOTERPRE2012,PctPoorPersons_1980,PctPoorPersons_1990,PctPoorPersons_2000,PctPoorPersons_2011_15,PctPoorChildren_1990,PctPoorChildren_2000,PctPoorChildren_2011_15,PctPoorElderly_1990,PctPoorElderly_2000,PctPoorElderly_2011_15,PctUnemployed_1980,PctUnemployed_1990,PctUnemployed_2000,PctUnemployed_2011_15,Pct16andOverEmployed_1980,Pct16andOverEmployed_1990,Pct16andOverEmployed_2000,Pct16andOverEmployed_2011_15,Pct25andOverWoutHS_1980,Pct25andOverWoutHS_1990,Pct25andOverWoutHS_2000,Pct25andOverWoutHS_2011_15,PctHshldPhone_2000,PctHshldPhone_2011_15,PctHshldCar_2000,PctHshldCar_2011_15,AvgFamilyIncAdj_1980,AvgFamilyIncAdj_1990,AvgFamilyIncAdj_2000,AvgFamilyIncAdj_2011_15,PctChgAvgFamilyIncAdj_1980_1990,PctChgAvgFamilyIncAdj_1990_2000,PctChgAvgFamilyIncA_2000_2011_15,fs_client_2000,fs_client_2001,fs_client_2002,fs_client_2003,fs_client_2004,fs_client_2005,fs_client_2006,fs_client_2007,fs_client_2008,fs_client_2009,fs_client_2010,fs_client_2011,fs_client_2012,fs_client_2013,fs_client_2014,fs_client_2015,fs_client_2016,tanf_client_2000,tanf_client_2001,tanf_client_2002,tanf_client_2003,tanf_client_2004,tanf_client_2005,tanf_client_2006,tanf_client_2007,tanf_client_2008,tanf_client_2009,tanf_client_2010,tanf_client_2011,tanf_client_2012,tanf_client_2013,tanf_client_2014,tanf_client_2015,tanf_client_2016,Rate_crimes_pt1_violent_2000,Rate_crimes_pt1_violent_2001,Rate_crimes_pt1_violent_2002,Rate_crimes_pt1_violent_2003,Rate_crimes_pt1_violent_2004,Rate_crimes_pt1_violent_2005,Rate_crimes_pt1_violent_2006,Rate_crimes_pt1_violent_2007,Rate_crimes_pt1_violent_2008,Rate_crimes_pt1_violent_2009,Rate_crimes_pt1_violent_2010,Rate_crimes_pt1_violent_2011,Rate_crimes_pt1_violent_2012,Rate_crimes_pt1_violent_2013,Rate_crimes_pt1_violent_2014,Rate_crimes_pt1_violent_2015,Rate_crimes_pt1_violent_2016,Rate_crimes_pt1_property_2000,Rate_crimes_pt1_property_2001,Rate_crimes_pt1_property_2002,Rate_crimes_pt1_property_2003,Rate_crimes_pt1_property_2004,Rate_crimes_pt1_property_2005,Rate_crimes_pt1_property_2006,Rate_crimes_pt1_property_2007,Rate_crimes_pt1_property_2008,Rate_crimes_pt1_property_2009,Rate_crimes_pt1_property_2010,Rate_crimes_pt1_property_2011,Rate_crimes_pt1_property_2012,Rate_crimes_pt1_property_2013,Rate_crimes_pt1_property_2014,Rate_crimes_pt1_property_2015,Rate_crimes_pt1_property_2016
Precinct 1,31,36,36,20,37,36,31,57,39,17,13,16,27,7.4,46,42,36,64,62,51,39,13,95,98,36,48,39162,41917,39066,91675,7,-6.8,135,2493,2355,2458,2844,2854,2870,2775,2609,2351,2335,2549,2791,2904,2901,2697,2639,2439,1054,1150,1218,1324,1368,1404,1258,1167,941,774,781,811,815,779,765,672,648,28,28,33,34,22,24,21,20,17,15,17,18,14,12,11,13,12,68,72,69,57,47,57,52,47,44,40,32,44,42,38,65,67,87
Precinct 2,20,40,54,38,35,56,0,7.3,17,0.8,2.9,5.8,60,8.5,52,52,31,37,7.3,2.6,3.8,3.4,99,97,24,23,82291,117411,40019,44428,43,-66,11,11,6,10,s,16,14,10,36,49,39,45,48,37,41,11,11,7,s,s,0,0,7,5,s,23,27,19,25,33,27,24,11,0,s,7.5,7.8,5.5,5.3,5.4,3.2,2.9,2.3,4.2,4.2,3.3,5.1,3.1,3.1,3.4,3.6,3.3,107,82,72,66,53,57,43,35,37,34,32,36,42,37,52,50,41
Precinct 3,10,16,25,22,0,0,0,9.4,12,16,2.6,3.4,4.5,2.9,69,62,55,60,5.1,6.6,6,3.4,100,98,49,36,179541,251384,320413,248284,40,27,-23,52,43,29,25,21,22,33,39,34,34,50,57,62,65,76,121,126,s,s,0,s,s,0,s,s,5,s,s,s,5,s,s,15,7,3,3.5,3.8,3.4,1.8,2.1,0.7,1.5,2.2,1.5,2.1,1.5,2.3,1.2,0.5,2.3,2,23,20,20,22,22,15,15,15,14,14,14,18,12,13,18,18,17
Precinct 4,12,13,15,19,7.1,12,32,9.8,8.6,8.2,3.2,3.1,2.1,2.8,77,78,73,71,7.4,3.5,4.6,2.4,99,98,46,46,113496,183625,191732,196747,62,4.4,2.6,10,10,8,7,9,9,11,11,9,9,14,16,24,25,25,28,32,0,0,s,s,s,s,s,0,0,0,s,s,s,s,s,s,7,11,9.1,10,9.8,6,5.7,5.7,3.6,4.5,7.9,4,3.4,4.9,2.7,2.5,2.7,4.6,165,124,108,92,70,67,58,54,61,48,41,47,47,45,44,58,45
Precinct 5,9.4,9.2,5.2,3.6,12,2.6,0,9.6,2.2,2.6,2,1.4,1.9,4.2,71,72,72,74,5.9,5.6,1.9,0,100,98,79,73,253253,272769,363441,370028,7.7,33,1.8,5,8,6,5,6,6,6,10,9,13,16,27,25,24,24,18,0,0,s,s,s,s,0,0,s,s,s,s,s,s,s,s,s,0,12,11,11,11,8.6,8.2,10,8.7,6,6.8,8.6,6.5,4.5,4.5,3.7,3.7,4.9,89,86,71,83,78,87,64,69,73,79,65,77,71,79,79,76,70
Precinct 6,18,20,23,21,7.6,8.1,1.4,12,15,5.3,1.5,2.4,2.2,4.8,65,64,62,50,6.1,3.1,2.2,2.4,100,97,83,80,144618,232796,251775,246504,61,8.2,-2.1,8,8,11,10,11,17,12,22,16,22,24,34,38,30,34,37,0,6,s,5,s,7,6,s,s,s,s,5,8,5,s,s,s,0,5.9,5.7,5.1,4.8,5.2,4,4.8,6.2,3.8,3.1,4.8,3.5,2.3,2.4,2.9,2.5,2.4,53,53,42,37,41,39,40,45,46,41,40,41,46,44,54,54,48
Precinct 7,12,9.6,13,14,9.8,5.7,1.1,3,3.3,0,4.7,1.7,1.5,4.2,72,73,70,65,5.1,2.7,2,3.2,100,94,93,90,154764,184393,226981,245661,19,23,8.2,s,s,5,5,5,6,s,s,s,5,7,14,14,20,21,23,0,s,0,0,0,0,s,0,0,0,0,0,s,0,0,0,0,0,1.1,1.4,3.2,2.5,0.7,1.8,0.7,1.8,0.4,1.7,1.7,1.4,1.4,1,0,0,0.7,31,16,14,33,13,12,14,14,19,19,31,16,13,14,10,8.7,14
Precinct 8,5.2,6.3,5.2,7.8,2.6,2.3,1.6,4.1,0.5,1.6,3.1,2.2,24,4.6,58,63,56,57,7.1,5.7,2.3,1.6,100,98,90,93,190122,266833,303238,361917,40,14,19,7,6,s,8,7,9,5,s,7,9,7,16,36,35,29,31,0,s,s,s,s,s,s,0,0,0,0,s,s,10,11,5,5,0,0.9,0.5,0.4,0.2,0.5,0,0.5,0.2,0.4,0.4,0.2,0.4,0.4,0.2,0.4,0.7,0.7,15,15,12,14,9,11,11,11,8.7,13,12,12,9.9,13,9.9,8.2,14
Precinct 9,5.1,4.7,4.4,11,1.9,0,1.7,0,1.4,2.3,2.5,2.1,59,9.6,53,64,33,38,6.2,5.1,1.9,2.3,100,99,97,92,223606,325727,416548,393252,46,28,-5.6,s,s,s,s,s,s,s,s,s,s,s,5,13,12,12,18,0,s,s,s,s,s,s,0,0,0,0,0,s,s,s,s,0,0,1,1.9,0.7,0.3,0.5,0.3,1.4,0.3,0.5,0.2,0.2,0.2,0.2,0.2,0.2,0.9,0.9,24,20,20,19,14,13,9.8,10,8.6,9.3,10,7.7,10,15,9.1,9.5,6.3
Precinct 10,6.5,8.3,11,17,5.5,4.7,3.2,3,0.4,3.3,3.4,2.8,14,5.1,57,65,61,59,9.7,4,1.8,2.3,99,97,82,85,195116,251824,231220,323605,29,-8.2,40,13,10,9,13,16,12,9,9,9,18,21,29,39,37,37,35,13,6,s,s,5,6,s,s,s,s,s,s,s,5,7,s,s,s,0.8,1,0.8,0,0.7,0.8,0.5,0.7,0.3,0.5,0.5,0.5,0.5,0.4,0.4,0.2,0.2,20,18,16,12,17,14,12,13,18,17,15,15,11,12,14,18,12
